iter	Passed	Remaining
401	18663	213470
402	18696	213270
403	18744	213237
404	18790	213187
405	18838	213166
406	18885	213118
407	18934	213108
408	18985	213112
409	19030	213043
410	19078	213018
411	19125	212983
412	19172	212943
413	19220	212908
414	19251	212696
415	19297	212648
416	19346	212631
417	19393	212585
418	19442	212569
419	19489	212532
420	19539	212516
421	19585	212470
422	19631	212415
423	19680	212402
424	19727	212364
425	19774	212323
426	19821	212279
427	19868	212236
428	19916	212207
429	19964	212182
430	20012	212150
431	20059	212114
432	20078	211776
433	20126	211742
434	20172	211700
435	20221	211676
436	20267	211622
437	20315	211593
438	20363	211572
439	20395	211369
440	20444	211353
441	20493	211337
442	20527	211155
443	20572	211104
444	20622	211088
445	20668	211039
446	20717	211022
447	20763	210970
448	20810	210927
449	20857	210894
450	20906	210871
451	20956	210865
452	21003	210819
453	21051	210795
454	21097	210738
455	21146	210724
456	21192	210677
457	21243	210669
458	21291	210637
459	21338	210603
460	21383	210543
461	21430	210502
462	21447	210164
463	21493	210116
464	21540	210077
465	21588	210048
466	21637	210025
467	21680	209947
468	21699	209634
469	21745	209592
470	21790	209534
471	21841	209533
472	21888	209494
473	21936	209457
474	21987	209457
475	22035	209425
476	22067	209244
477	22113	209194
478	22163	209184
479	22207	209125
480	22241	208963
481	22288	208919
482	22338	208909
483	22384	208863
484	22431	208819
485	22479	208794
486	22526	208753
487	22574	208721
488	22594	208433
489	22641	208393
490	22687	208345
491	22738	208339
492	22782	208277
493	22829	208234
494	22876	208195
495	22922	208153
496	22970	208120
497	22990	207835
498	23037	207796
499	23083	207750
500	23128	207691
501	23175	207651
502	23223	207623
503	23268	207568
504	23316	207542
505	23351	207390
506	23395	207330
507	23448	207345
508	23493	207283
509	23540	207249
510	23586	207198
511	23633	207162
512	23678	207107
513	23723	207051
514	23772	207032
515	23820	206998
516	23867	206956
517	23912	206898
518	23958	206858
519	23992	206707
520	24040	206677
521	24087	206637
522	24137	206622
523	24184	206584
524	24234	206568
525	24256	206319
526	24302	206267
527	24352	206261
528	24398	206214
529	24445	206170
530	24492	206135
531	24538	206090
532	24585	206047
533	24634	206021
534	24679	205967
535	24727	205938
536	24740	205619
537	24765	205393
538	24810	205342
539	24834	205118
540	24867	204961
541	24912	204908
542	24960	204880
543	25007	204843
544	25056	204822
545	25104	204789
546	25150	204744
547	25193	204675
548	25240	204637
549	25286	204594
550	25333	204552
551	25380	204515
552	25426	204471
553	25459	204320
554	25505	204274
555	25538	204120
556	25561	203898
557	25608	203854
558	25656	203832
559	25702	203784
560	25750	203755
561	25795	203703
562	25843	203672
563	25857	203373
564	25902	203325
565	25952	203308
566	25999	203270
567	26030	203114
568	26078	203078
569	26123	203032
570	26168	202981
571	26216	202946
572	26262	202902
573	26308	202863
574	26353	202808
575	26403	202792
576	26453	202779
577	26499	202731
578	26532	202590
579	26580	202558
580	26625	202507
581	26672	202470
582	26720	202445
583	26765	202391
584	26812	202354
585	26839	202168
586	26887	202136
587	26934	202098
588	26984	202087
589	27031	202045
590	27077	202004
591	27122	201953
592	27169	201911
593	27214	201866
594	27259	201813
595	27307	201784
596	27353	201736
597	27400	201702
598	27422	201480
599	27441	201235
600	27486	201188
601	27531	201137
602	27579	201103
603	27625	201058
604	27671	201015
605	27720	200994
606	27753	200860
607	27802	200840
608	27852	200821
609	27884	200678
610	27935	200672
611	27956	200448
612	28002	200402
613	28051	200379
614	28097	200339
615	28143	200292
616	28191	200267
617	28239	200232
618	28251	199952
619	28299	199924
620	28322	199717
621	28370	199689
622	28418	199659
623	28466	199633
624	28513	199597
625	28559	199553
626	28605	199508
627	28652	199471
628	28697	199419
629	28742	199374
630	28788	199326
631	28835	199296
632	28871	199180
633	28919	199155
634	28967	199120
635	29016	199098
636	29062	199060
637	29112	199039
638	29158	198997
639	29202	198938
640	29249	198906
641	29297	198877
642	29347	198862
643	29362	198605
644	29408	198567
645	29455	198526
646	29502	198490
647	29549	198456
648	29596	198417
